createdAt,amount,originRate
2015-03-21T19:23:23.179Z,1.00,1.00
2015-03-21T19:23:16.740Z,1.00,1.00
2015-03-21T19:23:05.408Z,1.00,1.00
2015-03-21T19:22:54.510Z,1.00,1.00
2015-03-21T19:22:52.858Z,1.00,1.00
2015-03-21T19:22:41.075Z,1.00,1.00
2015-03-21T19:22:28.593Z,1.00,1.00
2015-03-21T19:22:17.798Z,1.00,1.00
2015-03-21T19:22:07.524Z,1.00,1.00
2015-03-21T19:22:06.719Z,1.00,1.00
2015-03-21T19:21:54.219Z,1.00,1.00
2015-03-21T19:21:39.383Z,1.00,1.00
2015-03-21T19:21:32.396Z,1.00,1.00
2015-03-21T19:21:19.225Z,1.00,1.00
2015-03-21T19:21:05.561Z,1.00,1.00
2015-03-21T19:20:56.186Z,1.00,1.00
2015-03-21T19:20:43.283Z,1.00,1.00
2015-03-21T19:20:11.643Z,1.00,1.00
2015-03-21T19:20:02.455Z,1.00,1.00
2015-03-21T19:19:48.973Z,1.00,1.00
2015-03-21T19:19:34.754Z,1.00,1.00
2015-03-21T19:19:23.784Z,1.00,1.00
2015-03-21T19:19:09.340Z,1.00,1.00
2015-03-21T19:19:02.811Z,1.00,1.00
2015-03-21T19:18:56.248Z,1.00,1.00
2015-03-21T19:18:43.619Z,1.00,1.00
2015-03-21T19:18:21.961Z,1.00,1.00
2015-03-21T19:18:09.319Z,1.00,1.00
2015-03-21T19:18:00.873Z,1.00,1.00
2015-03-21T19:17:49.725Z,1.00,1.00
2015-03-21T19:17:35.509Z,1.00,1.00
2015-03-21T19:17:24.634Z,1.00,1.00
2015-03-21T19:17:14.008Z,1.00,1.00
2015-03-21T19:17:04.547Z,1.00,1.00
2015-03-21T19:16:54.293Z,1.00,1.00
2015-03-21T19:16:41.760Z,1.00,1.00
2015-03-21T19:16:29.025Z,1.00,1.00
2015-03-21T19:16:20.944Z,1.00,1.00
2015-03-21T19:16:11.332Z,1.00,1.00
2015-03-21T19:15:28.059Z,1.00,1.00
2015-03-21T19:15:03.163Z,1.00,1.00
2015-03-21T19:14:48.801Z,1.00,1.00
2015-03-21T19:14:41.055Z,1.00,1.00
2015-03-21T19:14:25.575Z,1.00,1.00
2015-03-21T19:14:13.175Z,1.00,1.00
2015-03-21T19:13:41.589Z,1.00,1.00
2015-03-21T19:13:29.882Z,1.00,1.00
2015-03-21T19:13:17.737Z,1.00,1.00
2015-03-21T19:13:04.841Z,1.00,1.00
2015-03-21T19:12:56.499Z,1.00,1.00
2015-03-21T19:12:39.687Z,1.00,1.00
2015-03-21T19:12:28.436Z,1.00,1.00
2015-03-21T19:12:03.742Z,1.00,1.00
2015-03-21T19:11:57.132Z,1.00,1.00
2015-03-21T19:11:45.517Z,1.00,1.00
2015-03-21T19:11:34.871Z,1.00,1.00
2015-03-21T19:11:30.144Z,1.00,1.00
2015-03-21T19:11:19.392Z,1.00,1.00
2015-03-21T19:11:09.927Z,1.00,1.00
2015-03-21T19:10:59.475Z,0.05766514,17.34150
2015-03-21T19:10:53.377Z,1.00,1.00
2015-03-21T19:10:42.528Z,1.00,1.00
2015-03-21T19:10:26.796Z,1.00,1.00
2015-03-21T19:10:19.667Z,1.00,1.00
2015-03-21T19:10:09.621Z,1.00,1.00
2015-03-21T19:09:58.210Z,1.00,1.00
2015-03-21T19:09:49.152Z,1.00,1.00
2015-03-21T19:09:35.329Z,1.00,1.00
2015-03-21T19:09:14.273Z,1.00,1.00
2015-03-21T19:09:02.406Z,1.00,1.00
2015-03-21T19:08:52.152Z,1.00,1.00
2015-03-21T19:08:31.694Z,1.00,1.00
2015-03-21T19:08:23.473Z,1.00,1.00
2015-03-21T19:08:10.971Z,1.00,1.00
2015-03-21T19:07:56.782Z,1.00,1.00
2015-03-21T19:07:48.825Z,1.00,1.00
2015-03-21T19:07:40.915Z,1.00,1.00
2015-03-21T19:07:33.904Z,1.00,1.00
2015-03-21T19:07:22.026Z,1.00,1.00
2015-03-21T19:07:16.272Z,1.00,1.00
2015-03-21T19:07:06.278Z,1.00,1.00
2015-03-21T19:06:54.958Z,1.00,1.00
2015-03-21T19:06:46.005Z,1.00,1.00
2015-03-21T19:06:35.336Z,1.00,1.00
2015-03-21T19:06:23.621Z,1.00,1.00
2015-03-21T19:06:15.284Z,1.00,1.00
2015-03-21T19:06:07.657Z,1.00,1.00
2015-03-21T19:05:56.536Z,1.00,1.00
2015-03-21T19:05:38.305Z,1.00,1.00
2015-03-21T19:05:28.825Z,1.00,1.00
2015-03-21T19:05:16.096Z,1.00,1.00
